location,UID,Location Updated,Final
Whitefield,887,Whitefield,Whitefield
Electronic City,730,Electronic City,Electronic City
BTM,729,BTM,BTM
HSR,706,HSR,HSR
Marathahalli,688,Marathahalli,Marathahalli
Indiranagar,533,Indiranagar,Indiranagar
JP Nagar,523,JP Nagar,JP Nagar
Bannerghatta Road,474,Bannerghatta Road,Bannerghatta Road
Jayanagar,367,Jayanagar,Jayanagar
Bellandur,363,Bellandur,Bellandur
Sarjapur Road,339,Sarjapur Road,Sarjapur Road
New BEL Road,308,New BEL Road,New BEL Road
Banashankari,295,Banashankari,Banashankari
Koramangala 5th Block,269,Koramangala,Koramangala
Kalyan Nagar,242,Kalyan Nagar,Kalyan Nagar
Malleshwaram,238,Malleshwaram,North
Rajajinagar,235,Rajajinagar,west
Basavanagudi,211,Basavanagudi,South
Banaswadi,209,Banaswadi,East
Frazer Town,192,Frazer Town,MG Road
Kammanahalli,182,Kammanahalli,East
Brookefield,178,Brookefield,East
Koramangala 1st Block,166,Koramangala,Koramangala
Koramangala 6th Block,151,Koramangala,Koramangala
Koramangala 7th Block,146,Koramangala,Koramangala
Old Airport Road,142,Old Airport Road,East
Koramangala 4th Block,133,Koramangala,Koramangala
Brigade Road,131,Brigade Road,MG Road
Ulsoor,119,Ulsoor,North
Basaveshwara Nagar,105,Basaveshwara Nagar,west
Nagawara,104,Nagawara,North
Bommanahalli,101,Bommanahalli,South
Domlur,100,Domlur,East
MG Road,98,MG Road,MG Road
Richmond Road,94,Richmond Road,East
Kumaraswamy Layout,84,Kumaraswamy Layout,South
Majestic,84,Majestic,North
Residency Road,84,Residency Road,East
Jeevan Bhima Nagar,78,Jeevan Bhima Nagar,East
Shanti Nagar,77,Shanti Nagar,East
Thippasandra,73,Thippasandra,East
Yeshwantpur,69,Yeshwantpur,East
Ejipura,65,Ejipura,South
Hennur,65,Hennur,North
Shivajinagar,61,Shivajinagar,North
Kaggadasapura,58,Kaggadasapura,East
Seshadripuram,58,Seshadripuram,North
Vijay Nagar,58,Vijay Nagar,west
Church Street,57,Church Street,North
Lavelle Road,56,Lavelle Road,East
Vasanth Nagar,54,Vasanth Nagar,North
RT Nagar,52,RT Nagar,North
Wilson Garden,50,Wilson Garden,East
Cunningham Road,49,Cunningham Road,North
"ITPL Main Road, Whitefield",48,"ITPL Main Road, Whitefield",East
Sanjay Nagar,47,Sanjay Nagar,North
City Market,45,City Market,North
HBR Layout,45,HBR Layout,North
Koramangala 8th Block,45,Koramangala,South
Sahakara Nagar,45,Sahakara Nagar,North
"Varthur Main Road, Whitefield",45,"Varthur Main Road, Whitefield",East
CV Raman Nagar,44,CV Raman Nagar,East
Commercial Street,44,Commercial Street,North
St. Marks Road,35,St. Marks Road,North
Sadashiv Nagar,32,Sadashiv Nagar,North
Race Course Road,30,Race Course Road,North
South Bangalore,28,South Bangalore,South
East Bangalore,23,East Bangalore,East
Koramangala 3rd Block,23,Koramangala,South
Magadi Road,23,Magadi Road,west
Jalahalli,22,Jalahalli,North
Rammurthy Nagar,19,Rammurthy Nagar,East
Hosur Road,16,Hosur Road,South
Infantry Road,15,Infantry Road,North
KR Puram,13,KR Puram,East
Mysore Road,13,Mysore Road,west
Sankey Road,13,Sankey Road,North
Uttarahalli,11,Uttarahalli,South
Kanakapura Road,10,Kanakapura Road,South
Koramangala,10,Koramangala,South
Koramangala 2nd Block,10,Koramangala,South
Old Madras Road,9,Old Madras Road,North
Hebbal,8,Hebbal,North
North Bangalore,7,North Bangalore,North
Nagarbhavi,4,Nagarbhavi,west
West Bangalore,4,West Bangalore,west
Yelahanka,4,Yelahanka,North
Central Bangalore,2,Central Bangalore,North
Langford Town,2,Langford Town,East
Rajarajeshwari Nagar,2,Rajarajeshwari Nagar,West
Jakkur,1,Jakkur,North
Kengeri,1,Kengeri,west
Peenya,1,Peenya,west
